"filename", "language", "Dart", "YAML", "XML", "Markdown", "JSON", "Swift", "C++", "CMake", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/account.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/animated_verification.json", "JSON", 0, 0, 0, 0, 503, 0, 0, 0, 0, 0, 0, 0, 1, 504
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/bell.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/bellFilled.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/edit.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/editFilled.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/facebook.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/google.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/heart.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/heartFilled.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/home.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/homeFilled.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/lock.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/message.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/messageFilled.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/microsoft.svg", "XML", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/reply.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/save.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/saveFilled.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/search.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/searchFilled.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/settings.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/share.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/shield.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/user.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/userFilled.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/ahmedafifi/projects/Universe/universe/lib/assets/icons/world.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/follow_button_bloc.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 59
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/followers_bloc.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/following_bloc.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/home_bloc.dart", "Dart", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 79
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/login_bloc.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 104
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/new_post_bloc.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 141
"/home/ahmedafifi/projects/Universe/universe/lib/blocs/personal_profile_bloc.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 107
